Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/The Perks of Being a Wallflower (film)/script.txt,The Perks of Being a Wallflower (film),208,632,212,109,26,305,91,124,21,103,238,83
./scriptbase titles/Burning Annie/script.txt,Burning Annie,191,190,304,97,28,105,22,166,48,84,74,143
./scriptbase titles/This Is 40/script.txt,This Is 40,218,208,93,123,34,110,25,51,13,107,89,41
./scriptbase titles/American Splendor (film)/script.txt,American Splendor (film),170,359,87,107,23,207,48,47,8,83,166,51
./scriptbase titles/The Naked City/script.txt,The Naked City,142,334,76,57,19,202,37,38,14,53,163,38
./scriptbase titles/The Big White/script.txt,The Big White,177,366,389,104,21,220,52,256,46,82,188,204
./scriptbase titles/Alien (film)/script.txt,Alien (film),94,252,127,69,11,167,37,90,10,51,129,69
./scriptbase titles/The Swimmer (1968 film)/script.txt,The Swimmer (1968 film),123,253,200,61,18,150,39,116,25,59,116,76
./scriptbase titles/The Breakfast Club/script.txt,The Breakfast Club,68,182,393,44,4,111,19,214,118,33,88,173
./scriptbase titles/Bottle Rocket/script.txt,Bottle Rocket,66,462,292,28,10,243,60,158,34,27,199,140
./scriptbase titles/Scream 3/script.txt,Scream 3,191,200,150,108,26,115,20,95,15,85,74,53
./scriptbase titles/The Last Samurai/script.txt,The Last Samurai,55,337,226,33,7,178,51,121,38,25,133,88
./scriptbase titles/Feast (film)/script.txt,Feast (film),76,115,92,52,3,79,10,51,15,42,66,44
./scriptbase titles/The Majestic (film)/script.txt,The Majestic (film),126,515,153,75,15,301,72,104,25,46,224,73
./scriptbase titles/The Thing Called Love/script.txt,The Thing Called Love,661,353,145,354,96,191,47,82,22,299,157,61
./scriptbase titles/Margot at the Wedding/script.txt,Margot at the Wedding,485,295,163,323,61,173,36,81,29,252,125,55
./scriptbase titles/Apt Pupil (film)/script.txt,Apt Pupil (film),73,933,134,37,8,547,129,61,23,26,428,59
./scriptbase titles/Warm Springs (film)/script.txt,Warm Springs (film),172,465,158,100,23,248,65,90,18,66,200,61
./scriptbase titles/Crash (1996 film)/script.txt,Crash (1996 film),198,450,70,97,30,252,77,39,13,82,207,34
./scriptbase titles/The Book of Eli/script.txt,The Book of Eli,216,412,365,119,28,244,49,205,64,85,181,164
